Customer_ID,Age,Income_INR,Employment_Years,Marital_Status,Education_Level,Credit_History_Length,Outstanding_Loans,Loan_Amount,Loan_Tenure_Months,Savings_Account_Balance,Checking_Account_Balance,No_of_Open_Accounts,No_of_Closed_Accounts,Total_Credit_Limit,Total_Current_Balance,Credit_Utilization_Ratio,No_of_Inquiries_6M,No_of_Inquiries_12M,DPD_30,DPD_60,DPD_90,Worst_Current_Status,Months_Since_Most_Recent_Delinquency,Max_Credit_Exposure,Oldest_Trade_Open_Months,Newest_Trade_Open_Months,Default,Application_Date
0,59,167371,32,Married,Graduate,30,4,554141,36,72105,15594,7,6,217242,41275,0.19,1,2,0,0,0,Current,,230905,363,186,0,2025-02-14
1,49,346178,18,Married,Graduate,23,0,389864,24,446939,75222,7,7,418320,71114,0.17,2,3,0,0,0,Current,,534427,285,6,0,2025-05-13
2,35,267393,10,Single,Graduate,16,0,1304251,36,313495,106708,2,3,709140,63822,0.09,1,1,0,0,0,Current,,835600,198,50,0,2023-04-07
3,63,444006,26,Single,Graduate,26,0,1107690,84,511428,198478,6,8,690045,372624,0.54,0,0,0,0,0,Current,,809349,318,305,0,2025-04-22
4,28,254301,4,Single,Graduate,4,4,1211953,240,317746,90845,4,0,342719,102815,0.3,0,2,0,0,0,Current,,358903,55,46,0,2025-04-17
5,41,295220,13,Married,Postgraduate,15,1,326503,48,303888,14394,2,7,593030,35581,0.06,1,2,3,3,3,DPD90+,20.0,883274,184,90,1,2025-10-05
6,59,307118,36,Divorced,Graduate,29,3,1213875,84,25495,104971,4,2,322014,80503,0.25,0,0,0,0,0,Current,,438898,351,96,0,2023-08-31
7,39,100000,15,Married,High School,19,0,327937,12,180518,13567,3,0,107473,17195,0.16,1,2,4,1,0,DPD60,5.0,122537,228,25,1,2025-01-03
8,43,163682,10,Single,High School,16,3,685874,84,272139,28042,6,1,294745,112003,0.38,3,4,0,0,0,Current,,429955,195,96,0,2023-03-19
9,31,100000,7,Divorced,High School,13,3,320305,36,38962,11401,3,5,152318,0,0.0,0,2,0,0,0,Current,,224523,166,125,0,2025-11-05
10,31,114050,3,Widowed,Graduate,9,0,551176,240,97613,44748,5,4,141131,26814,0.19,0,1,0,0,0,Current,,198315,117,105,0,2025-08-29
11,44,125411,17,Married,Graduate,15,0,416514,48,194709,41552,5,2,79620,8758,0.11,2,2,0,0,0,Current,,105867,180,63,0,2025-08-09
