age,marital_status,education_level,outstanding_loans,loan_tenure_months,savings_account_balance,checking_account_balance,no_of_open_accounts,no_of_closed_accounts,total_current_balance,credit_utilization_ratio,no_of_inquiries_6m,no_of_inquiries_12m,max_credit_exposure,newest_trade_open_months,default,month,log_income_inr,log_loan_amount,log_savings_account_balance,log_checking_account_balance,log_total_current_balance,debt_to_income,balance_to_income,savings_to_loan,monthly_installment_proxy,installment_to_income,inquiry_acceleration,utilization_per_open_account,total_accounts,closed_account_ratio,account_maturity,trade_gap,woe_age,woe_savings_account_balance,woe_checking_account_balance,woe_total_current_balance,woe_credit_utilization_ratio,woe_max_credit_exposure,woe_newest_trade_open_months,woe_log_income_inr,woe_log_savings_account_balance,woe_log_checking_account_balance,woe_log_total_current_balance,woe_balance_to_income,woe_savings_to_loan,woe_monthly_installment_proxy,woe_utilization_per_open_account,woe_total_accounts,woe_account_maturity
59,1,1,4,36,72105,15594,7,6,41275,0.19,1,2,230905,186,0,2025-02,12.02797415900909,13.225176250575185,11.185892537563756,9.654705629041905,10.628036496235604,3.3109,0.2466,0.1301,15392.81,1.1036,0.5,0.0271,13,0.4615,1.0083,177,0.2138679370756996,-0.10280167224933352,0.09452117944313351,0.03338679094976551,0.19095109062894794,-0.2160792079693583,0.08684592463669417,-0.07137808057819994,-0.10280167224933352,0.09452117944313351,0.03338679094976551,0.03338679094976551,0.019100833702288912,0.24690974427699258,0.4613287960406158,-0.04724710799135949,0.21973305652809796
49,1,1,0,24,446939,75222,7,7,71114,0.17,2,3,534427,6,0,2025-05,12.754711261305584,12.873555804334604,13.010179636398377,11.22821231423886,11.172053564004328,1.1262,0.2054,1.1464,16244.33,0.5631,0.6667,0.0243,14,0.5,1.0326,279,-0.0036098767028325345,0.09452117944313351,0.060055038031926807,-0.1567017951818489,0.19095109062894794,-0.13371227695715018,-0.36893118631538024,-0.006874652700971691,0.09452117944313351,0.060055038031926807,-0.1567017951818489,0.03338679094976551,0.02626932318090149,0.24690974427699258,0.4613287960406158,-0.05556069506673067,-0.05688507327563318
35,0,1,0,36,313495,106708,2,3,63822,0.09,1,1,835600,50,0,2023-04,12.496478505103548,14.081140254331803,12.65554187980306,11.577860782373747,11.063868905935202,4.8777,0.2387,0.2404,36229.19,1.6259,1.0,0.045,5,0.6,1.0312,148,-0.05854666324529267,0.2093121205398391,0.20243924125207707,-0.13371227695715018,0.047138475041581425,-0.10280167224933352,-0.17179454373628492,-0.07137808057819994,0.2093121205398391,0.20243924125207707,-0.13371227695715018,0.03338679094976551,0.2093121205398391,-0.06410532124912015,-0.11173337023837479,-0.04912152278570968,-0.05688507327563318
63,0,1,0,84,511428,198478,6,8,372624,0.54,0,0,809349,305,0,2025-04,13.00359560705585,13.91778822652844,13.144964047310046,12.198438580061978,12.828327830980372,2.4948,0.8392,0.4617,13186.79,0.3564,0.0,0.09,14,0.5714,1.0192,13,0.24463959574245342,-0.032192460685261624,0.2093121205398391,-0.032192460685261624,-0.6759895377302999,-0.10280167224933352,0.6365748516183702,0.03338679094976551,-0.032192460685261624,0.2093121205398391,-0.032192460685261624,-0.07137808057819994,0.24008377920659268,-0.16413677366936694,0.09490176936209485,-0.05556069506673067,0.13260497299693397
28,0,1,4,240,317746,90845,4,0,102815,0.3,0,2,358903,46,0,2025-04,12.446277816105985,14.007744491095751,12.669010747622394,11.416921044236426,11.540696261915585,4.7658,0.4043,0.2622,5049.8,0.2383,0.0,0.075,4,0.0,1.1458,9,-0.29695768669029093,0.2093121205398391,0.00029383677764087667,0.060055038031926807,-0.0048212638891296485,0.13667829838457002,-0.17179454373628492,0.4006438442190346,0.2093121205398391,0.00029383677764087667,0.060055038031926807,-0.032192460685261624,-0.13371227695715018,-0.07137808057819994,-0.028892447984569334,-0.10039377318079315,-0.3566300181766892
59,2,1,3,84,25495,104971,4,2,80503,0.25,0,0,438898,96,0,2023-08,12.634990573613116,14.009329103704369,10.146276856097172,11.561448926911115,11.29606215161317,3.9525,0.2621,0.021,14450.89,0.5646,0.0,0.0625,6,0.3333,1.0086,255,0.2138679370756996,-0.2451326188257049,0.20243924125207707,-0.1567017951818489,0.24203881404239616,0.02626932318090149,-0.17917465103390748,0.3655525244077644,-0.2451326188257049,0.20243924125207707,-0.1567017951818489,0.03338679094976551,-0.08820287282818068,0.24690974427699258,0.21973305652809796,0.03898135876926322,0.21973305652809796
39,1,0,0,12,180518,13567,3,0,17195,0.16,1,2,122537,25,1,2025-01,11.51293546492023,12.700579845108676,12.10359131437319,9.515469358031684,9.752432077616172,3.2794,0.1719,0.5505,27328.08,3.2794,0.5,0.0533,3,0.0,1.0,203,0.1160546270532565,-0.0954756321572604,0.09452117944313351,-0.032192460685261624,0.19095109062894794,-0.3020727873570614,0.11542786426244736,-0.2633193275414611,-0.0954756321572604,0.09452117944313351,-0.032192460685261624,0.5337751568222175,0.24008377920659268,0.2786584425915728,0.3983423472307553,-0.10039377318079315,0.03338679094976551
43,0,0,3,84,272139,28042,6,1,112003,0.38,3,4,429955,96,0,2023-03,12.005686909463238,13.438450674361276,12.514071918744849,10.241494325439769,11.626289863925209,4.1903,0.6843,0.3968,8165.17,0.5986,0.75,0.0633,7,0.1429,1.0156,99,-0.15385684304961764,0.20243924125207707,0.03338679094976551,0.1656658352578223,0.0018232788295387806,0.02626932318090149,-0.17917465103390748,-0.07137808057819994,0.20243924125207707,0.03338679094976551,0.1656658352578223,-0.40389176679554784,-0.3097948334509717,0.09452117944313351,0.21973305652809796,0.03898135876926322,0.13260497299693397
31,3,1,0,240,97613,44748,5,4,26814,0.19,0,1,198315,105,0,2025-08,11.644400995758268,13.2198112706702,11.488776204737226,10.708824377084602,10.196716711417023,4.8328,0.2351,0.1771,2296.57,0.2416,0.0,0.038,9,0.4444,1.0833,12,-0.29695768669029093,-0.032192460685261624,0.13667829838457002,0.5337751568222175,0.19095109062894794,0.060055038031926807,-0.17917465103390748,-0.1567017951818489,-0.032192460685261624,0.13667829838457002,0.5337751568222175,0.03338679094976551,0.2093121205398391,-0.16413677366936694,-0.11173337023837479,-0.20270514844410162,0.06792214130279518
44,1,1,0,48,194709,41552,5,2,8758,0.11,2,2,105867,63,0,2025-08,11.739359596382505,12.939677754346294,12.179266551109666,10.634724999843208,9.07783702216309,3.3212,0.0698,0.4675,8677.37,0.8303,1.0,0.022,7,0.2857,1.0,117,-0.15385684304961764,-0.10280167224933352,0.13667829838457002,-0.032192460685261624,0.319455699638265,-0.3020727873570614,-0.17179454373628492,-0.1567017951818489,-0.10280167224933352,0.13667829838457002,-0.032192460685261624,0.10153875210178005,0.24008377920659268,0.09452117944313351,-0.028514376146417678,0.03898135876926322,0.03338679094976551
