Customer_ID,Age,Income_INR,Employment_Years,Marital_Status,Education_Level,Credit_History_Length,Outstanding_Loans,Loan_Amount,Loan_Tenure_Months,Savings_Account_Balance,Checking_Account_Balance,No_of_Open_Accounts,No_of_Closed_Accounts,Total_Credit_Limit,Total_Current_Balance,Credit_Utilization_Ratio,No_of_Inquiries_6M,No_of_Inquiries_12M,DPD_30,DPD_60,DPD_90,Worst_Current_Status,Months_Since_Most_Recent_Delinquency,Max_Credit_Exposure,Oldest_Trade_Open_Months,Newest_Trade_Open_Months,Default,Application_Date
0,59,167371,32,Married,Graduate,30,4,554141,36,72105,15594,7,6,217242,41275,0.19,1,2,0,0,0,Current,,257375,367,53,0,2024-12-29
1,49,346178,18,Married,Graduate,23,0,389864,24,446939,75222,7,7,418320,71114,0.17,1,1,1,0,0,DPD30,27.0,514446,287,84,0,2025-03-11
2,35,267393,10,Single,Graduate,16,0,1304251,36,313495,106708,2,3,709140,63822,0.09,2,2,0,0,0,Current,,983790,199,2,0,2023-10-19
3,63,444006,26,Single,Graduate,26,0,1107690,84,511428,198478,6,8,690045,372624,0.54,2,3,0,0,0,Current,,863566,312,132,0,2023-03-13
4,28,254301,4,Single,Graduate,4,4,1211953,240,317746,90845,4,0,342719,102815,0.3,1,1,0,0,0,Current,,424059,49,7,1,2024-03-28
5,41,295220,13,Married,Postgraduate,15,1,326503,48,303888,14394,2,7,593030,35581,0.06,0,1,0,0,0,Current,,682569,183,19,0,2025-04-28
6,59,307118,36,Divorced,Graduate,29,3,1213875,84,25495,104971,4,2,322014,80503,0.25,0,0,0,0,0,Current,,408937,358,355,0,2025-12-28
7,39,100000,15,Married,High School,19,0,327937,12,180518,13567,3,0,107473,17195,0.16,0,1,0,0,0,Current,,120820,233,139,1,2025-02-09
8,43,163682,10,Single,High School,16,3,685874,84,272139,28042,6,1,294745,112003,0.38,2,2,2,1,1,DPD90+,12.0,333208,194,83,1,2023-10-09
9,31,100000,7,Divorced,High School,13,3,320305,36,38962,11401,3,5,152318,0,0.0,0,0,0,0,0,Current,,209990,162,160,1,2023-08-18
10,31,114050,3,Widowed,Graduate,9,0,551176,240,97613,44748,5,4,141131,26814,0.19,3,4,0,0,0,Current,,165303,110,14,0,2025-11-26
11,44,125411,17,Married,Graduate,15,0,416514,48,194709,41552,5,2,79620,8758,0.11,5,5,0,0,0,Current,,81666,187,177,1,2025-06-09
12,56,228697,18,Widowed,Graduate,19,3,921813,120,448502,71737,1,8,412097,90661,0.22,2,3,0,0,0,Current,,482911,233,69,0,2023-12-14
13,60,228631,32,Married,Graduate,29,1,1017206,48,435477,77877,6,7,581070,209185,0.36,0,0,0,0,0,Current,,766597,355,142,0,2024-12-21
14,44,100000,18,Married,High School,19,3,371562,84,180375,13365,7,2,262844,105137,0.4,3,4,0,0,0,Current,,369819,234,167,1,2025-06-27
15,23,278388,0,Married,Graduate,9,1,795929,120,99893,64983,2,1,303053,106068,0.35,1,2,0,0,0,Current,,448811,119,12,0,2023-02-14
16,42,100000,14,Married,High School,15,2,172767,24,183322,32396,3,7,199910,27987,0.14,2,4,0,0,0,Current,,274498,184,124,0,2023-01-04
17,22,180734,0,Single,Graduate,8,1,785328,84,318628,58840,4,4,477084,57250,0.12,0,0,0,0,0,Current,,579383,100,49,0,2023-04-04
18,44,167349,9,Divorced,High School,15,4,445583,180,131377,66954,6,8,254674,30560,0.12,0,0,0,0,0,Current,,292762,182,84,0,2024-11-02
19,64,447375,34,Divorced,Postgraduate,29,0,1473289,84,366542,70600,1,0,1266224,253244,0.2,0,0,0,0,0,Current,,1348294,351,274,0,2025-12-29
20,50,100000,23,Married,High School,24,2,85651,24,94682,38976,4,9,275744,11029,0.04,1,3,0,0,0,Current,,362284,295,257,0,2024-05-14
21,58,311987,18,Single,Postgraduate,19,3,854245,48,414799,72159,3,2,318331,22283,0.07,1,1,0,0,0,Current,,399486,232,107,0,2025-06-09
22,22,107696,2,Single,Graduate,3,1,392197,12,60162,36797,6,4,123571,2471,0.02,1,1,0,0,0,Current,,165443,44,4,1,2024-04-07
23,41,453324,13,Single,Postgraduate,14,2,1418144,120,42952,108228,7,1,431158,30181,0.07,0,1,0,0,0,Current,,482278,170,12,0,2023-08-10
24,53,173679,29,Single,Graduate,30,4,437410,180,56514,82555,3,2,171965,24075,0.14,3,6,4,0,0,DPD30,13.0,199792,369,357,0,2025-01-31
25,32,207187,9,Married,Graduate,8,1,311904,24,188172,21975,6,3,573836,86075,0.15,2,3,2,2,0,DPD60,19.0,657643,98,79,1,2023-11-21
26,42,428035,13,Divorced,Postgraduate,19,3,810491,60,256780,147245,6,3,1210416,60520,0.05,1,2,0,0,0,Current,,1693161,235,52,0,2024-09-20
27,64,299120,28,Single,Graduate,23,3,1092628,180,460886,88759,3,8,188368,56510,0.3,3,5,0,0,0,Current,,204495,283,90,0,2025-07-04
28,45,248938,16,Single,Graduate,17,1,375612,180,64237,25618,3,0,493895,197558,0.4,1,2,0,0,0,Current,,644155,215,15,0,2025-04-03
29,69,336336,24,Married,Graduate,26,4,1109158,60,618541,17382,4,8,642596,340575,0.53,0,2,0,0,0,Current,,659096,318,136,0,2024-06-03
30,47,253756,18,Single,Graduate,22,0,800300,180,455717,102413,1,8,374637,164840,0.44,2,2,0,0,0,Current,,477573,269,220,0,2023-08-12
31,62,222544,29,Divorced,High School,25,0,1083094,84,405492,21270,3,5,462723,78662,0.17,1,1,0,0,0,Current,,477510,306,286,0,2024-10-05
32,48,171582,25,Single,Graduate,24,3,132721,60,256041,18792,5,0,492169,206710,0.42,4,4,0,0,0,Current,,535449,294,182,0,2023-06-09
33,36,212425,6,Single,Graduate,6,4,209568,48,54943,104013,1,5,196628,58988,0.3,1,1,0,0,0,Current,,207739,77,67,0,2025-07-09
34,35,100000,10,Single,Graduate,12,3,277737,60,90436,36428,5,7,80102,27234,0.34,1,3,0,0,0,Current,,93988,152,95,1,2024-08-01
35,67,316575,21,Single,Postgraduate,22,0,909201,48,96948,44394,4,4,184714,29554,0.16,1,2,0,0,0,Current,,216460,268,218,0,2023-10-30
36,64,277099,35,Married,Graduate,30,3,188337,12,547551,84142,3,4,390594,39059,0.1,0,0,3,2,0,DPD60,33.0,551991,364,8,0,2023-11-19
37,23,341602,6,Single,Postgraduate,6,1,1440313,36,238924,94409,1,0,459137,96418,0.21,0,1,0,0,0,Current,,510947,77,63,0,2025-05-03
38,57,358840,32,Married,Graduate,29,1,978289,180,427520,152631,7,0,565908,45272,0.08,0,0,0,0,0,Current,,590351,357,93,0,2025-09-11
39,27,316187,7,Married,Graduate,9,4,651312,120,496355,117012,3,7,555943,194580,0.35,4,4,0,0,0,Current,,723702,118,17,0,2024-06-27
40,41,292191,14,Single,Graduate,12,0,565343,120,539151,122494,6,4,699668,160923,0.23,2,4,0,0,0,Current,,940161,147,16,0,2025-10-07
41,29,220629,6,Single,Graduate,6,4,965545,36,336088,26811,3,7,326593,81648,0.25,1,1,0,0,0,Current,,374736,81,45,0,2023-02-05
42,59,426597,23,Married,Postgraduate,21,4,590963,240,582425,139627,7,9,565894,294264,0.52,4,5,0,0,0,Current,,736458,261,196,0,2023-04-19
43,38,100000,10,Married,High School,13,0,122187,84,95866,3931,1,1,256719,28239,0.11,2,3,3,2,1,DPD90+,31.0,356333,164,138,1,2025-04-16
44,24,303237,1,Divorced,Postgraduate,8,2,442514,180,373142,16099,3,3,795842,23875,0.03,1,3,0,0,0,Current,,934140,107,80,0,2024-10-18
45,45,302422,21,Single,Graduate,22,2,1001803,180,70651,109625,3,9,327194,111245,0.34,1,2,0,0,0,Current,,413140,265,205,1,2025-07-15
46,34,245896,5,Single,Graduate,7,3,1020268,36,436133,7800,2,8,316389,63277,0.2,3,3,0,0,0,Current,,339585,94,60,1,2024-02-01
47,29,100000,9,Single,Graduate,13,2,198940,48,111036,29828,2,2,256279,74320,0.29,2,3,0,0,0,Current,,259309,167,68,0,2025-01-10
48,46,264841,17,Married,Graduate,20,1,339149,84,33969,112132,1,5,184996,73998,0.4,0,1,0,0,0,Current,,275770,242,127,0,2023-09-29
49,22,187703,0,Married,Graduate,6,4,270550,24,346088,37985,1,6,246757,175197,0.71,2,2,1,0,0,DPD30,13.0,283737,80,32,0,2023-12-23
50,40,230993,6,Divorced,Graduate,10,3,759118,120,231949,9591,6,2,374410,175972,0.47,2,3,0,0,0,Current,,426621,120,117,0,2024-07-27
51,48,100000,14,Married,High School,12,4,160715,24,174374,36264,6,0,96767,22256,0.23,1,1,0,0,0,Current,,143856,148,80,0,2023-04-02
52,67,330935,29,Single,Graduate,26,0,1471919,60,569516,154298,3,1,314317,40861,0.13,0,0,0,0,0,Current,,428765,314,152,0,2023-05-16
53,27,100000,6,Married,High School,11,2,96751,48,164071,36424,5,9,156215,46864,0.3,2,3,0,0,0,Current,,201931,134,28,0,2025-10-29
