age,income_inr,employment_years,marital_status,education_level,credit_history_length,outstanding_loans,loan_amount,loan_tenure_months,savings_account_balance,checking_account_balance,no_of_open_accounts,no_of_closed_accounts,total_credit_limit,total_current_balance,credit_utilization_ratio,no_of_inquiries_6m,no_of_inquiries_12m,max_credit_exposure,oldest_trade_open_months,newest_trade_open_months,default,month,log_income_inr,log_loan_amount,log_savings_account_balance,log_checking_account_balance,log_total_credit_limit,log_total_current_balance,log_max_credit_exposure
59,167371,32,1,1,30,4,554141,36,72105,15594,7,6,217242,41275,0.19,1,2,257375,367,53,0,2024-12,12.02797415900909,13.225176250575185,11.185892537563756,9.654705629041903,12.28877182166492,10.628036496235605,12.458293329703796
49,346178,18,1,1,23,0,389864,24,446939,75222,7,7,418320,71114,0.17,1,1,514446,287,84,0,2025-03,12.754711261305584,12.873555804334604,13.010179636398377,11.22821231423886,12.944004359373594,11.172053564004328,13.150847816316451
35,267393,10,0,1,16,0,1304251,36,313495,106708,2,3,709140,63822,0.09,2,2,983790,199,2,0,2023-10,12.496478505103548,14.081140254331805,12.65554187980306,11.577860782373747,13.47180965739213,11.063868905935202,13.799168755100677
63,444006,26,0,1,26,0,1107690,84,511428,198478,6,8,690045,372624,0.54,2,3,863566,312,132,0,2023-03,13.00359560705585,13.91778822652844,13.144964047310046,12.198438580061978,13.444513541017985,12.828327830980372,13.668826764757439
28,254301,4,0,1,4,4,1211953,240,317746,90845,4,0,342719,102815,0.3,1,1,424059,49,7,1,2024-03,12.446277816105985,14.007744491095753,12.669010747622394,11.416921044236426,12.74466906624152,11.540696261915585,12.957630233636541
41,295220,13,1,2,15,1,326503,48,303888,14394,2,7,593030,35581,0.06,0,1,682569,183,19,0,2025-04,12.595479507389634,12.696197478772124,12.624417782132646,9.574636203046277,13.293001953173356,10.47959517099472,13.433620364884478
59,307118,36,2,1,29,3,1213875,84,25495,104971,4,2,322014,80503,0.25,0,0,408937,358,355,0,2025-12,12.634990573613115,14.009329103704369,10.146276856097172,11.561448926911115,12.682353407292483,11.29606215161317,12.921318834292075
39,100000,15,1,0,19,0,327937,12,180518,13567,3,0,107473,17195,0.16,0,1,120820,233,139,1,2025-02,11.51293546492023,12.700579845108676,12.10359131437319,9.515469358031684,11.585004236831779,9.752432077616172,11.702065390433848
43,163682,10,0,0,16,3,685874,84,272139,28042,6,1,294745,112003,0.38,2,2,333208,194,83,1,2023-10,12.005686909463238,13.438450674361276,12.514071918744849,10.241494325439769,12.593869247484802,11.626289863925207,12.716525199714361
31,100000,7,2,0,13,3,320305,36,38962,11401,3,5,152318,0,0.0,0,0,209990,162,160,1,2023-08,11.51293546492023,12.67703206786014,10.570367756845354,9.341544057591527,11.93373228487759,0.0,12.254819951638355
