age,marital_status,education_level,outstanding_loans,loan_amount,loan_tenure_months,savings_account_balance,checking_account_balance,no_of_open_accounts,no_of_closed_accounts,total_current_balance,credit_utilization_ratio,no_of_inquiries_6m,no_of_inquiries_12m,newest_trade_open_months,default,month,log_income_inr,log_savings_account_balance,log_checking_account_balance,log_total_current_balance,log_max_credit_exposure,debt_to_income,balance_to_income,savings_to_loan,monthly_installment_proxy,installment_to_income,inquiry_acceleration,utilization_per_open_account,total_accounts,closed_account_ratio,account_maturity,trade_gap,woe_age,woe_education_level,woe_loan_amount,woe_loan_tenure_months,woe_savings_account_balance,woe_checking_account_balance,woe_total_current_balance,woe_credit_utilization_ratio,woe_no_of_inquiries_6m,woe_no_of_inquiries_12m,woe_newest_trade_open_months,woe_log_income_inr,woe_log_savings_account_balance,woe_log_checking_account_balance,woe_log_total_current_balance,woe_log_max_credit_exposure,woe_debt_to_income,woe_balance_to_income,woe_savings_to_loan,woe_monthly_installment_proxy,woe_installment_to_income,woe_inquiry_acceleration,woe_utilization_per_open_account,woe_closed_account_ratio,woe_account_maturity,woe_trade_gap
59,1,1,4,554141,36,72105,15594,7,6,41275,0.19,1,2,53,0,2024-12,12.02797415900909,11.185892537563756,9.654705629041905,10.628036496235604,12.458293329703796,3.3109,0.2466,0.1301,15392.81,1.1036,0.5,0.0271,13,0.4615,1.0194,314,0.7316004412458373,-0.22326256541455727,-0.014203191481365798,0.04818354532846819,-0.39878400642260947,-0.5413652345670501,-0.14822061084692617,0.1799528229595917,0.12905688332991616,-0.11136693993501376,-0.15651941366162134,-0.0336212773384673,-0.39878400642260947,-0.5413652345670501,-0.14822061084692617,-0.47063474318155785,-0.38981533643984906,0.013504615321927167,-0.39878400642260947,0.013504615321927167,-0.1999789831434081,0.1745180269736348,0.6773554263934416,0.5017679017808311,0.17198465331041474,1.0401540881827032
49,1,1,0,389864,24,446939,75222,7,7,71114,0.17,1,1,84,0,2025-03,12.754711261305584,13.010179636398377,11.22821231423886,11.172053564004328,13.150847816316451,1.1262,0.2054,1.1464,16244.33,0.5631,1.0,0.0243,14,0.5,1.0399,203,0.29436317413733587,-0.22326256541455727,-0.38981533643984906,-0.17632204095780107,0.8405238330849243,0.7597713182125337,0.18750002859497455,0.1799528229595917,0.12905688332991616,0.21852509774583123,-0.0266614264034074,1.0337231978524128,0.8405238330849243,0.7597713182125337,0.18750002859497455,0.22541519703634885,1.1994965881520083,0.013504615321927167,0.6705757394080629,0.013504615321927167,0.013504615321927167,-0.20153032046208738,0.6773554263934416,0.0776739738391735,-0.22551228514857263,0.9271672247898126
35,0,1,0,1304251,36,313495,106708,2,3,63822,0.09,2,2,2,0,2023-10,12.496478505103548,12.65554187980306,11.577860782373747,11.063868905935202,13.799168755100675,4.8777,0.2387,0.2404,36229.19,1.6259,1.0,0.045,5,0.6,1.0365,197,-0.40471371460628364,-0.22326256541455727,0.2563258017441657,0.04818354532846819,0.59233837391233,0.378228307695788,0.13550106038875784,0.6558911877251418,-0.1775030659622122,-0.11136693993501376,-0.29962025730229463,0.38539679717440045,0.59233837391233,0.378228307695788,0.13550106038875784,0.59233837391233,-0.7610305215049349,0.013504615321927167,-0.13182680107124983,-0.16592018794632704,-0.1999789831434081,-0.20153032046208738,0.12279440911964301,0.27444366638051426,-0.04962161868490844,0.9271672247898126
63,0,1,0,1107690,84,511428,198478,6,8,372624,0.54,2,3,132,0,2023-03,13.00359560705585,13.144964047310046,12.198438580061978,12.828327830980372,13.66882676475744,2.4948,0.8392,0.4617,13186.79,0.3564,0.6667,0.09,14,0.5714,1.0,180,0.5884164340640126,-0.22326256541455727,0.24894569444654305,0.07676858672436082,0.8405238330849243,1.3963481472840846,0.28774939341529904,-0.5780549918023947,-0.1775030659622122,-0.054240564541203067,0.0753800190400147,0.9892714352815788,0.8405238330849243,1.3963481472840846,0.28774939341529904,0.59233837391233,-0.04158944698764424,-0.22551228514857277,-0.12197160620773233,-0.0336212773384673,0.34503257331904025,-0.18914464097769795,-0.36565891689181446,-0.48502348063365747,0.1511738584095484,0.6499564522053273
28,0,1,4,1211953,240,317746,90845,4,0,102815,0.3,1,1,7,1,2024-03,12.446277816105985,12.669010747622394,11.416921044236426,11.540696261915585,12.95763023363654,4.7658,0.4043,0.2622,5049.8,0.2383,1.0,0.075,4,0.0,1.0208,42,-0.6688476673121468,-0.22326256541455727,0.24894569444654305,-0.16488766333213792,0.59233837391233,0.4465814862135402,-0.17421899076102226,-0.03777066088527888,0.12905688332991616,0.21852509774583123,-0.29962025730229463,0.5178246399352279,0.59233837391233,0.4465814862135402,-0.17421899076102226,0.18750002859497455,-0.7610305215049349,-0.04158944698764424,-0.13182680107124983,0.10639025578257491,-0.014203191481365798,-0.20153032046208738,-0.14855124401244438,-0.14416664569462026,0.39451263058241004,-0.47358521950530796
41,1,2,1,326503,48,303888,14394,2,7,35581,0.06,0,1,19,0,2025-04,12.595479507389634,12.624417782132646,9.574636203046277,10.47959517099472,13.433620364884478,1.106,0.1205,0.9307,6802.15,0.2765,0.0,0.03,9,0.7778,1.0167,164,-0.27957950641884854,0.889100344865978,-0.38981533643984906,-0.028514013938685242,0.4536486534366327,-0.5413652345670501,-0.14822061084692617,0.6558911877251418,0.12905688332991616,0.21852509774583123,-0.0713616053213144,0.38539679717440045,0.4536486534366327,-0.5413652345670501,-0.14822061084692617,0.4818195304033289,1.1994965881520083,0.5992112532000919,0.6705757394080629,-0.27594313877546467,0.12789646100353846,0.1745180269736348,0.6773554263934416,0.1799528229595915,0.17198465331041474,0.6499564522053273
39,1,0,0,327937,12,180518,13567,3,0,17195,0.16,0,1,139,1,2025-02,11.51293546492023,12.10359131437319,9.515469358031684,9.752432077616172,11.702065390433848,3.2794,0.1719,0.5505,27328.08,3.2794,0.0,0.0533,3,0.0,1.0219,94,-0.27957950641884854,-0.22326256541455727,-0.38981533643984906,-0.17632204095780107,-0.3745478643090606,-0.5413652345670501,-0.26735939508407314,0.1799528229595917,0.12905688332991616,0.21852509774583123,0.0753800190400147,-1.173551715337308,-0.3745478643090606,-0.5413652345670501,-0.26735939508407314,-0.738397641877574,-0.38981533643984906,0.34503257331904025,0.28774939341529904,0.2804233533232262,-0.738397641877574,0.1745180269736348,0.11095995147264011,-0.14416664569462026,0.39451263058241004,0.26980915208145273
43,0,0,3,685874,84,272139,28042,6,1,112003,0.38,2,2,83,1,2023-10,12.005686909463238,12.514071918744849,10.241494325439769,11.626289863925209,12.71652519971436,4.1903,0.6843,0.3968,8165.17,0.5986,1.0,0.0633,7,0.1429,1.0104,111,-0.19811331096045834,-0.22326256541455727,0.38539679717440045,0.07676858672436082,0.4536486534366327,-0.42287171930706796,0.021347792782953054,-0.3024733262847011,-0.1775030659622122,-0.11136693993501376,-0.0266614264034074,-0.0336212773384673,0.4536486534366327,-0.42287171930706796,0.021347792782953054,-0.6014185910151929,-0.5879955706830521,-0.3745478643090606,-0.12197160620773233,0.06995192774526302,-0.2170734165027081,-0.20153032046208738,-0.08354202387818553,-0.14416664569462026,0.14987536772231363,0.26980915208145273
31,2,0,3,320305,36,38962,11401,3,5,0,0.0,0,0,160,1,2023-08,11.51293546492023,10.570367756845354,9.341544057591529,0.0,12.254819951638355,3.203,0.0,0.1216,8897.36,1.0677,0.0,0.0,8,0.625,1.0385,2,-0.6688476673121468,-0.22326256541455727,-0.1999789831434081,0.04818354532846819,-0.8961866098564595,-0.7157186217118278,-0.26735939508407314,0.6558911877251418,0.12905688332991616,0.21852509774583123,0.29502215274437876,-1.173551715337308,-0.8961866098564595,-0.7157186217118278,-0.26735939508407314,-0.42287171930706796,-0.38981533643984906,0.5992112532000919,-0.39878400642260947,0.06995192774526302,-0.22551228514857277,0.1745180269736348,0.1949907003241321,0.27444366638051426,-0.04962161868490844,-0.38715363670498887
44,1,1,0,416514,48,194709,41552,5,2,8758,0.11,5,5,177,1,2025-06,11.739359596382505,12.179266551109666,10.634724999843208,9.07783702216309,11.310405282483078,3.3212,0.0698,0.4675,8677.37,0.8303,1.0,0.022,7,0.2857,1.0389,10,-0.19811331096045834,-0.22326256541455727,-0.5647280077155366,-0.028514013938685242,-0.09545915690037489,-0.2508300931328625,-0.26735939508407314,0.2073517971477059,-0.7306072342055785,-0.45912713633007796,0.21798021854883082,-0.3745478643090606,-0.09545915690037489,-0.2508300931328625,-0.26735939508407314,-0.738397641877574,-0.38981533643984906,0.5992112532000919,0.28774939341529904,0.06995192774526302,-0.22551228514857277,-0.20153032046208738,0.1949907003241321,0.08686239989357969,-0.04962161868490844,-0.38715363670498887
